step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
109,5.84905, -1.40417, 1.89236, -0.138077, 4.92946, 3.90395, -2.80036, -1.74378, -2.85619, 3.9465, -2.48025, 2.44512, -0.612226, 3.26637, 1.71071, 1.01342, 2.15207, 2.59632, -2.18882, -1.29627, -2.95376, 4.03537, -0.316474, -0.569703, -1.36359, 2.28571, 3.25828, 2.55795, 1.82599, 2.76175, -2.60425, -0.910459, -2.12936, -0.0381831, 0.00359488, 0.19753, -0.0552157, 0.500589
119,5.85493, -1.39887, 1.93096, -0.137568, 4.9297, 3.90757, -2.79128, -1.75718, -2.82049, 3.9479, -2.47153, 2.50499, -0.613824, 3.26206, 1.71812, 1.01269, 2.1539, 2.61882, -2.19086, -1.32233, -2.89835, 4.04646, -0.285213, -0.523793, -1.36673, 2.2962, 3.25326, 2.56389, 1.85184, 2.79733, -2.60308, -0.876896, -2.11289, -0.0220318, 0.0290518, 0.243333, -0.105421, 0.499594
129,5.86269, -1.3933, 1.98391, -0.136102, 4.92856, 3.91284, -2.77863, -1.77757, -2.77145, 3.94831, -2.46256, 2.58289, -0.614476, 3.25291, 1.72808, 1.01237, 2.15315, 2.65001, -2.19271, -1.36221, -2.82755, 4.05696, -0.248707, -0.463499, -1.36871, 2.3033, 3.24381, 2.57092, 1.88256, 2.84545, -2.60181, -0.845214, -2.09231, -0.00603315, 0.0669516, 0.311729, -0.178575, 0.49726
139,5.87283, -1.38758, 2.05695, -0.1335, 4.92542, 3.91956, -2.76179, -1.80798, -2.70541, 3.94752, -2.453, 2.68309, -0.614117, 3.23716, 1.73999, 1.01241, 2.14903, 2.69252, -2.19458, -1.4211, -2.74132, 4.06643, -0.205356, -0.380922, -1.36944, 2.30594, 3.22828, 2.57896, 1.92072, 2.91484, -2.60104, -0.817142, -2.06518, 0.00594376, 0.118728, 0.415003, -0.284018, 0.492189
149,5.88543, -1.38271, 2.15308, -0.129774, 4.91939, 3.92696, -2.74129, -1.8523, -2.62297, 3.94606, -2.44323, 2.80381, -0.613117, 3.21289, 1.75178, 1.01266, 2.14053, 2.74703, -2.19657, -1.50497, -2.64908, 4.07458, -0.155141, -0.268245, -1.36947, 2.3033, 3.20483, 2.58716, 1.96802, 3.01609, -2.60167, -0.796072, -2.03214, 0.00581784, 0.182889, 0.56733, -0.431489, 0.482421
159,5.89972, -1.38122, 2.26605, -0.125346, 4.90921, 3.93381, -2.71984, -1.91381, -2.53481, 3.94562, -2.43623, 2.93218, -0.612861, 3.17875, 1.76012, 1.01257, 2.12591, 2.80893, -2.19894, -1.61882, -2.57341, 4.08165, -0.100373, -0.126303, -1.3709, 2.29539, 3.17253, 2.59323, 2.02353, 3.15253, -2.60489, -0.786342, -2.00407, -0.0182333, 0.255063, 0.775499, -0.623535, 0.466829
169,5.91491, -1.38705, 2.38218, -0.120983, 4.89294, 3.93894, -2.70135, -1.99201, -2.45693, 3.94819, -2.43891, 3.05245, -0.615907, 3.13442, 1.76239, 1.01089, 2.10175, 2.8701, -2.20311, -1.76253, -2.53558, 4.08845, -0.0441399, 0.031281, -1.3777, 2.28341, 3.13307, 2.59344, 2.08423, 3.3126, -2.61201, -0.790279, -1.99899, -0.0762755, 0.332605, 1.03019, -0.847673, 0.446461
179,5.93129, -1.40481, 2.49138, -0.11738, 4.86744, 3.94182, -2.68833, -2.08221, -2.39672, 3.95466, -2.46034, 3.15857, -0.624988, 3.08001, 1.75834, 1.00582, 2.06297, 2.9253, -2.21144, -1.92849, -2.53724, 4.09589, 0.0114593, 0.1887, -1.39454, 2.26904, 3.0909, 2.58389, 2.14733, 3.47953, -2.62419, -0.806577, -2.02419, -0.172314, 0.415855, 1.31101, -1.08212, 0.423358
189,5.94978, -1.4396, 2.59014, -0.114807, 4.82845, 3.94281, -2.6809, -2.18, -2.35108, 3.96471, -2.50874, 3.25226, -0.641505, 3.01603, 1.7495, 0.996062, 2.00474, 2.97386, -2.22539, -2.1058, -2.56457, 4.10446, 0.0646445, 0.335179, -1.42471, 2.25394, 3.05102, 2.56231, 2.21037, 3.6408, -2.64223, -0.83202, -2.07212, -0.30481, 0.504691, 1.59654, -1.30835, 0.399134
199,5.97076, -1.49507, 2.67828, -0.113335, 4.7732, 3.94328, -2.67778, -2.28325, -2.31326, 3.97715, -2.58685, 3.33658, -0.664903, 2.94674, 1.73803, 0.981552, 1.92727, 3.01728, -2.2445, -2.28342, -2.60156, 4.11403, 0.112771, 0.462596, -1.46848, 2.23987, 3.01732, 2.52887, 2.27003, 3.78656, -2.66616, -0.864094, -2.13246, -0.467016, 0.598397, 1.87042, -1.51618, 0.374964
209,5.99323, -1.56788, 2.75713, -0.113595, 4.70608, 3.94536, -2.67809, -2.38718, -2.2773, 3.99039, -2.68462, 3.41364, -0.693068, 2.88473, 1.72626, 0.963317, 1.84292, 3.05771, -2.26697, -2.44577, -2.63698, 4.12412, 0.15307, 0.565292, -1.52265, 2.22912, 2.9931, 2.48598, 2.32297, 3.90972, -2.69503, -0.901601, -2.19905, -0.64718, 0.695658, 2.1232, -1.70234, 0.352564
219,6.0152, -1.64682, 2.82845, -0.116461, 4.639, 3.9506, -2.68167, -2.48219, -2.24028, 4.00345, -2.783, 3.48453, -0.722952, 2.84413, 1.71609, 0.94341, 1.771, 3.09699, -2.29027, -2.57635, -2.66572, 4.13469, 0.185279, 0.644401, -1.58179, 2.22329, 2.98001, 2.43789, 2.36857, 4.01057, -2.72632, -0.942473, -2.26656, -0.831586, 0.792338, 2.35049, -1.86716, 0.333949
229,6.03547, -1.72254, 2.89327, -0.121667, 4.58091, 3.95893, -2.68784, -2.5621, -2.20258, 4.01643, -2.87013, 3.54961, -0.751602, 2.82762, 1.70839, 0.924343, 1.72049, 3.1358, -2.31187, -2.67141, -2.68749, 4.14631, 0.21189, 0.706822, -1.64096, 2.22196, 2.97621, 2.38931, 2.40899, 4.09544, -2.75664, -0.983349, -2.32954, -1.00943, 0.883242, 2.55148, -2.01255, 0.319572
239,6.05388, -1.79192, 2.95196, -0.128073, 4.53348, 3.96921, -2.69539, -2.6273, -2.16611, 4.02975, -2.94437, 3.60895, -0.777195, 2.82889, 1.70296, 0.907957, 1.68869, 3.17376, -2.33018, -2.73834, -2.70421, 4.15943, 0.235732, 0.759214, -1.69715, 2.22368, 2.9783, 2.34382, 2.44667, 4.17019, -2.7832, -1.02154, -2.38524, -1.17467, 0.965555, 2.72824, -2.14105, 0.308652
249,6.07063, -1.85496, 3.00485, -0.134666, 4.49501, 3.98027, -2.70336, -2.68076, -2.13242, 4.04362, -3.00776, 3.66273, -0.799136, 2.84088, 1.69921, 0.895013, 1.66987, 3.21015, -2.34474, -2.78609, -2.71796, 4.17411, 0.25868, 0.805644, -1.74911, 2.22709, 2.9835, 2.30328, 2.48311, 4.23815, -2.80459, -1.05576, -2.43353, -1.32505, 1.03886, 2.88414, -2.25516, 0.30029
259,6.08596, -1.9124, 3.05241, -0.140876, 4.46342, 3.99131, -2.71122, -2.7253, -2.10228, 4.05801, -3.06258, 3.71134, -0.817604, 2.85862, 1.69656, 0.885466, 1.65933, 3.24444, -2.35578, -2.82133, -2.73017, 4.19013, 0.281693, 0.848213, -1.79664, 2.23134, 2.99008, 2.26816, 2.51899, 4.30094, -2.8206, -1.08565, -2.47534, -1.46063, 1.10386, 3.02257, -2.35708, 0.293793
269,6.10008, -1.96494, 3.09519, -0.146475, 4.43708, 4.0019, -2.71872, -2.76307, -2.07579, 4.07277, -3.11059, 3.75529, -0.83311, 2.87915, 1.69458, 0.878874, 1.65402, 3.27638, -2.36388, -2.84831, -2.74167, 4.20713, 0.305157, 0.887961, -1.84, 2.23589, 2.99709, 2.23818, 2.5546, 4.35944, -2.8317, -1.11138, -2.51178, -1.58262, 1.1616, 3.14642, -2.44869, 0.288665
279,6.11314, -2.01315, 3.1338, -0.151425, 4.41481, 4.01183, -2.72578, -2.79552, -2.05274, 4.08769, -3.1531, 3.79512, -0.846225, 2.90077, 1.69298, 0.874672, 1.65202, 3.30592, -2.36963, -2.86969, -2.75286, 4.2248, 0.329142, 0.925424, -1.87966, 2.24047, 3.00406, 2.21271, 2.58996, 4.41417, -2.83861, -1.13334, -2.54381, -1.69265, 1.21312, 3.25808, -2.53151, 0.284554
289,6.12525, -2.05754, 3.16878, -0.155773, 4.39579, 4.02104, -2.73241, -2.82373, -2.03273, 4.10258, -3.19107, 3.83135, -0.857467, 2.92254, 1.69159, 0.872322, 1.65217, 3.33315, -2.37359, -2.88713, -2.76393, 4.24285, 0.353569, 0.960904, -1.91609, 2.2449, 3.01075, 2.19105, 2.62502, 4.46552, -2.8421, -1.15198, -2.5722, -1.79235, 1.25936, 3.35943, -2.60682, 0.281208
299,6.13653, -2.0985, 3.20063, -0.159593, 4.37942, 4.02953, -2.73863, -2.84846, -2.01536, 4.11731, -3.22526, 3.86444, -0.867257, 2.94397, 1.6903, 0.871366, 1.65373, 3.35822, -2.3762, -2.90169, -2.77493, 4.26105, 0.378296, 0.9946, -1.94973, 2.24911, 3.01707, 2.17258, 2.65967, 4.51382, -2.84284, -1.16778, -2.59758, -1.88319, 1.30111, 3.45203, -2.67565, 0.278447
309,6.14706, -2.13641, 3.22976, -0.162964, 4.36524, 4.03734, -2.74446, -2.87029, -2.00027, 4.13175, -3.25626, 3.89479, -0.875922, 2.96477, 1.68906, 0.871437, 1.65623, 3.38132, -2.37782, -2.9141, -2.78586, 4.27923, 0.403165, 1.02666, -1.98096, 2.25306, 3.02297, 2.15672, 2.69381, 4.55935, -2.84139, -1.18117, -2.62043, -1.96643, 1.33906, 3.53711, -2.73889, 0.276141
319,6.15692, -2.17158, 3.25654, -0.165957, 4.35289, 4.04453, -2.74996, -2.88969, -1.9871, 4.14584, -3.28453, 3.92274, -0.883712, 2.98481, 1.68783, 0.872251, 1.65934, 3.40264, -2.3787, -2.92485, -2.79672, 4.29727, 0.428027, 1.05721, -2.0101, 2.25674, 3.02847, 2.14303, 2.72734, 4.60234, -2.83822, -1.19255, -2.64114, -2.0431, 1.37376, 3.6157, -2.79723, 0.274191
329,6.16618, -2.20431, 3.28127, -0.168633, 4.34209, 4.05116, -2.75515, -2.90702, -1.97559, 4.15953, -3.31046, 3.94859, -0.890813, 3.00404, 1.68658, 0.873595, 1.66286, 3.42234, -2.37905, -2.93431, -2.80747, 4.31507, 0.452748, 1.08636, -2.0374, 2.26015, 3.03358, 2.13114, 2.76016, 4.64302, -2.83367, -1.20225, -2.66003, -2.11409, 1.4057, 3.68862, -2.85129, 0.272526
339,6.17489, -2.23484, 3.30419, -0.171043, 4.33261, 4.05727, -2.76006, -2.92258, -1.96547, 4.17278, -3.33436, 3.9726, -0.897367, 3.02244, 1.68532, 0.875306, 1.66664, 3.44059, -2.379, -2.94273, -2.81809, 4.33259, 0.477218, 1.11421, -2.06309, 2.2633, 3.03832, 2.12074, 2.79223, 4.6816, -2.82805, -1.21057, -2.67735, -2.18009, 1.43525, 3.75659, -2.90157, 0.271092
349,6.18311, -2.26339, 3.32552, -0.173229, 4.32424, 4.06293, -2.76471, -2.93661, -1.95655, 4.1856, -3.35649, 3.99496, -0.903477, 3.04002, 1.68403, 0.877264, 1.67058, 3.45753, -2.37868, -2.95031, -2.82855, 4.34977, 0.501346, 1.14085, -2.08735, 2.2662, 3.04272, 2.11159, 2.82348, 4.71823, -2.82157, -1.21776, -2.6933, -2.24171, 1.46275, 3.82017, -2.94849, 0.269845
359,6.19088, -2.29016, 3.34545, -0.175224, 4.31685, 4.06817, -2.76912, -2.94932, -1.94865, 4.19797, -3.37707, 4.01587, -0.909224, 3.05683, 1.68272, 0.879381, 1.67459, 3.4733, -2.37817, -2.9572, -2.83883, 4.36659, 0.525061, 1.16637, -2.11033, 2.26888, 3.04681, 2.10349, 2.8539, 4.75309, -2.81441, -1.22401, -2.70807, -2.29945, 1.48845, 3.87985, -2.99242, 0.268754
369,6.19824, -2.31533, 3.36413, -0.177057, 4.31029, 4.07304, -2.77332, -2.96088, -1.94163, 4.2099, -3.39627, 4.03548, -0.914668, 3.07289, 1.68138, 0.881591, 1.67863, 3.48802, -2.37751, -2.96351, -2.84891, 4.38304, 0.548312, 1.19083, -2.13217, 2.27134, 3.05062, 2.09629, 2.88346, 4.78631, -2.80671, -1.22949, -2.72178, -2.35371, 1.51259, 3.93606, -3.03367, 0.267792
379,6.20523, -2.33903, 3.38169, -0.178751, 4.30445, 4.07758, -2.77732, -2.97144, -1.93537, 4.2214, -3.41425, 4.05393, -0.919855, 3.08824, 1.68003, 0.883844, 1.68266, 3.50178, -2.37676, -2.96934, -2.85879, 4.3991, 0.571059, 1.21432, -2.15296, 2.27361, 3.05417, 2.08985, 2.91215, 4.81801, -2.7986, -1.23435, -2.73457, -2.40486, 1.53535, 3.98915, -3.0725, 0.266939
389,6.21189, -2.36142, 3.39824, -0.180324, 4.29925, 4.08182, -2.78113, -2.98111, -1.92977, 4.23249, -3.43115, 4.07133, -0.924821, 3.10293, 1.67866, 0.886106, 1.68665, 3.51468, -2.37594, -2.97476, -2.86846, 4.41478, 0.593277, 1.23689, -2.17282, 2.2757, 3.05747, 2.08406, 2.93998, 4.84832, -2.79015, -1.23869, -2.74653, -2.4532, 1.55688, 4.03942, -3.10915, 0.266179
399,6.21822, -2.3826, 3.41389, -0.181794, 4.29459, 4.08578, -2.78477, -2.98999, -1.92474, 4.24318, -3.44706, 4.08778, -0.929596, 3.117, 1.67727, 0.88835, 1.69059, 3.5268, -2.37509, -2.97982, -2.8779, 4.43007, 0.614953, 1.2586, -2.19181, 2.27762, 3.06056, 2.07884, 2.96697, 4.87733, -2.78144, -1.24262, -2.75776, -2.49901, 1.57731, 4.08713, -3.14382, 0.265497
409,6.22427, -2.40269, 3.42872, -0.183172, 4.29042, 4.08949, -2.78826, -2.99819, -1.9202, 4.2535, -3.4621, 4.10337, -0.934203, 3.13049, 1.67587, 0.890557, 1.69446, 3.53821, -2.37421, -2.98457, -2.88712, 4.44498, 0.636077, 1.27952, -2.21001, 2.27939, 3.06346, 2.0741, 2.99312, 4.90514, -2.77254, -1.24619, -2.76831, -2.5425, 1.59677, 4.1325, -3.17668, 0.264883
419,6.23006, -2.42177, 3.44281, -0.18447, 4.28668, 4.09298, -2.79159, -3.00576, -1.91609, 4.26344, -3.47634, 4.11818, -0.938659, 3.14342, 1.67446, 0.892715, 1.69825, 3.54898, -2.37332, -2.98906, -2.89612, 4.45953, 0.656651, 1.29968, -2.22749, 2.28103, 3.06617, 2.0698, 3.01846, 4.93183, -2.76349, -1.24948, -2.77827, -2.58387, 1.61533, 4.17575, -3.2079, 0.264327
429,6.2356, -2.43992, 3.45621, -0.185699, 4.28331, 4.09627, -2.79478, -3.01278, -1.91236, 4.27304, -3.48985, 4.13228, -0.942979, 3.15585, 1.67305, 0.894813, 1.70196, 3.55916, -2.37243, -2.99331, -2.90489, 4.47371, 0.676679, 1.31913, -2.2443, 2.28254, 3.06871, 2.06587, 3.04302, 4.95748, -2.75432, -1.25253, -2.78768, -2.62332, 1.63309, 4.21705, -3.23759, 0.263822
439,6.24091, -2.45724, 3.46899, -0.186865, 4.28027, 4.09937, -2.79784, -3.01931, -1.90896, 4.28231, -3.50271, 4.14572, -0.947177, 3.16779, 1.67163, 0.896847, 1.70558, 3.56879, -2.37155, -2.99735, -2.91344, 4.48754, 0.696169, 1.33792, -2.26048, 2.28394, 3.07111, 2.06226, 3.06682, 4.98215, -2.74509, -1.25539, -2.79659, -2.66098, 1.65012, 4.25654, -3.2659, 0.263362
449,6.24601, -2.47376, 3.48121, -0.187976, 4.27754, 4.10229, -2.80077, -3.02539, -1.90585, 4.29127, -3.51497, 4.15857, -0.951263, 3.17928, 1.67021, 0.898811, 1.70912, 3.57794, -2.37067, -3.0012, -2.92177, 4.50103, 0.715133, 1.35608, -2.27609, 2.28524, 3.07336, 2.05895, 3.08989, 5.0059, -2.7358, -1.25808, -2.80505, -2.69701, 1.66647, 4.29438, -3.29291, 0.262941
459,6.25091, -2.48957, 3.4929, -0.189039, 4.27507, 4.10506, -2.80359, -3.03107, -1.903, 4.29992, -3.52667, 4.17086, -0.955245, 3.19036, 1.66879, 0.900705, 1.71257, 3.58663, -2.36981, -3.00488, -2.92988, 4.51418, 0.733584, 1.37365, -2.29116, 2.28643, 3.07548, 2.0559, 3.11226, 5.0288, -2.72648, -1.26063, -2.8131, -2.73152, 1.68219, 4.33067, -3.31874, 0.262555
469,6.25563, -2.50471, 3.5041, -0.190057, 4.27283, 4.10769, -2.8063, -3.03638, -1.90038, 4.30829, -3.53786, 4.18264, -0.959132, 3.20103, 1.66738, 0.902526, 1.71593, 3.5949, -2.36896, -3.00841, -2.93778, 4.52702, 0.751537, 1.39066, -2.30573, 2.28755, 3.07749, 2.05308, 3.13395, 5.0509, -2.71716, -1.26306, -2.82075, -2.76464, 1.69735, 4.36553, -3.34347, 0.2622
479,6.26018, -2.51923, 3.51486, -0.191037, 4.27081, 4.11018, -2.80891, -3.04135, -1.89797, 4.3164, -3.54859, 4.19395, -0.96293, 3.21134, 1.66596, 0.904274, 1.7192, 3.60279, -2.36813, -3.0118, -2.94548, 4.53955, 0.769008, 1.40714, -2.31983, 2.28858, 3.07938, 2.05046, 3.155, 5.07224, -2.70784, -1.26539, -2.82806, -2.79644, 1.71197, 4.39906, -3.36717, 0.261872
489,6.26457, -2.53317, 3.5252, -0.191982, 4.26899, 4.11255, -2.81141, -3.04603, -1.89573, 4.32424, -3.55888, 4.20481, -0.966644, 3.22129, 1.66455, 0.905952, 1.72239, 3.61031, -2.36732, -3.01506, -2.95297, 4.55178, 0.786012, 1.42312, -2.33349, 2.28954, 3.08117, 2.04802, 3.17543, 5.09287, -2.69854, -1.26763, -2.83504, -2.82704, 1.72609, 4.43135, -3.38992, 0.261568
499,6.2688, -2.54657, 3.53516, -0.192895, 4.26733, 4.11481, -2.81383, -3.05043, -1.89365, 4.33185, -3.56876, 4.21528, -0.97028, 3.23092, 1.66315, 0.907559, 1.7255, 3.61751, -2.36652, -3.0182, -2.96027, 4.56373, 0.802566, 1.43863, -2.34673, 2.29043, 3.08287, 2.04575, 3.19526, 5.11283, -2.68927, -1.2698, -2.84171, -2.85651, 1.73975, 4.46248, -3.41177, 0.261286
509,6.2729, -2.55947, 3.54476, -0.193779, 4.26584, 4.11696, -2.81615, -3.05457, -1.89172, 4.33922, -3.57828, 4.22536, -0.973843, 3.24023, 1.66175, 0.909098, 1.72853, 3.6244, -2.36573, -3.02124, -2.96738, 4.5754, 0.818688, 1.45369, -2.35959, 2.29126, 3.08449, 2.04363, 3.21453, 5.13216, -2.68005, -1.2719, -2.8481, -2.88492, 1.75298, 4.49251, -3.43279, 0.261024
519,6.27686, -2.5719, 3.55402, -0.194638, 4.26448, 4.11901, -2.8184, -3.05849, -1.88991, 4.34637, -3.58744, 4.23508, -0.977335, 3.24926, 1.66036, 0.910571, 1.73149, 3.631, -2.36496, -3.02417, -2.97431, 4.5868, 0.834392, 1.46832, -2.37207, 2.29204, 3.08602, 2.04165, 3.23326, 5.15088, -2.67086, -1.27394, -2.85423, -2.91235, 1.7658, 4.52153, -3.45303, 0.26078
529,6.2807, -2.58389, 3.56297, -0.195474, 4.26326, 4.12097, -2.82056, -3.06218, -1.88822, 4.35331, -3.59628, 4.24447, -0.980762, 3.258, 1.65897, 0.911979, 1.73437, 3.63734, -2.36421, -3.02701, -2.98106, 4.59795, 0.849695, 1.48255, -2.38421, 2.29276, 3.08747, 2.03978, 3.25147, 5.16904, -2.66173, -1.27593, -2.86011, -2.93885, 1.77824, 4.54958, -3.47254, 0.260552
539,6.28441, -2.59547, 3.57163, -0.196289, 4.26215, 4.12284, -2.82265, -3.06568, -1.88663, 4.36006, -3.60481, 4.25355, -0.984125, 3.26649, 1.6576, 0.913324, 1.73717, 3.64343, -2.36346, -3.02977, -2.98763, 4.60885, 0.864612, 1.49639, -2.39602, 2.29343, 3.08886, 2.03803, 3.26919, 5.18666, -2.65266, -1.27788, -2.86576, -2.96448, 1.79032, 4.57672, -3.49136, 0.260339
549,6.28802, -2.60665, 3.58001, -0.197084, 4.26115, 4.12464, -2.82467, -3.069, -1.88514, 4.36661, -3.61305, 4.26234, -0.987429, 3.27472, 1.65623, 0.914609, 1.73991, 3.64928, -2.36273, -3.03244, -2.99404, 4.61952, 0.879158, 1.50986, -2.40752, 2.29406, 3.09018, 2.03638, 3.28643, 5.20377, -2.64364, -1.27977, -2.8712, -2.9893, 1.80206, 4.60301, -3.50952, 0.260139
559,6.29152, -2.61747, 3.58813, -0.197863, 4.26026, 4.12636, -2.82662, -3.07215, -1.88373, 4.37298, -3.62103, 4.27085, -0.990676, 3.28272, 1.65487, 0.915836, 1.74259, 3.65492, -2.36202, -3.03503, -3.00029, 4.62995, 0.893349, 1.52298, -2.41872, 2.29465, 3.09144, 2.03482, 3.30322, 5.2204, -2.6347, -1.28163, -2.87643, -3.01334, 1.81347, 4.62849, -3.52707, 0.259951
569,6.29491, -2.62795, 3.596, -0.198625, 4.25945, 4.12801, -2.82851, -3.07513, -1.88239, 4.37918, -3.62876, 4.2791, -0.993868, 3.2905, 1.65352, 0.917008, 1.74519, 3.66034, -2.36131, -3.03755, -3.00638, 4.64016, 0.907197, 1.53577, -2.42965, 2.2952, 3.09264, 2.03334, 3.31957, 5.23656, -2.62581, -1.28345, -2.88147, -3.03666, 1.82458, 4.6532, -3.54405, 0.259775
