step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
9,5.82834, -1.46281, 1.73478, -0.12083, 4.89143, 3.9034, -2.81949, -1.73134, -2.97768, 3.9264, -2.58828, 2.16856, -0.566975, 3.20692, 1.69203, 1.04012, 2.06529, 2.5126, -2.14497, -1.28432, -3.18706, 3.92549, -0.600749, -0.811783, -1.30508, 2.11885, 3.20162, 2.52465, 1.58158, 2.56122, -2.59537, -1.27311, -2.27668, -0.0426594, 0.0279076, 0.0458271, 0.0103339, 0.500463
19,5.8291, -1.45479, 1.74596, -0.123203, 4.89849, 3.90543, -2.81952, -1.72658, -2.96807, 3.92892, -2.5736, 2.18943, -0.572012, 3.21919, 1.69661, 1.03712, 2.07951, 2.52104, -2.14892, -1.27418, -3.16747, 3.93797, -0.570075, -0.792501, -1.30996, 2.13774, 3.21399, 2.52927, 1.60883, 2.5796, -2.59335, -1.23698, -2.25735, -0.073945, 0.0279629, 0.0665849, 0.0151956, 0.50077
29,5.83007, -1.44803, 1.75699, -0.125547, 4.90405, 3.90585, -2.81925, -1.72466, -2.96015, 3.93067, -2.56113, 2.21027, -0.577679, 3.22874, 1.69909, 1.03354, 2.09117, 2.52796, -2.15426, -1.26923, -3.14996, 3.949, -0.539291, -0.773333, -1.31624, 2.15588, 3.22438, 2.53244, 1.63571, 2.59719, -2.59424, -1.20086, -2.24054, -0.0895404, 0.0206094, 0.0792052, 0.0205144, 0.500959
39,5.8312, -1.44185, 1.76825, -0.127867, 4.90884, 3.90529, -2.81884, -1.72399, -2.95293, 3.93218, -2.54959, 2.23143, -0.583444, 3.23697, 1.70017, 1.02985, 2.10161, 2.53395, -2.16006, -1.26647, -3.13343, 3.95943, -0.508819, -0.753752, -1.32311, 2.17367, 3.23332, 2.53491, 1.66209, 2.61458, -2.59645, -1.16435, -2.22516, -0.095721, 0.0102622, 0.0884302, 0.0249832, 0.501057
49,5.83251, -1.43596, 1.78002, -0.130111, 4.91314, 3.9042, -2.81825, -1.7239, -2.94564, 3.93375, -2.53853, 2.25328, -0.589001, 3.24438, 1.70043, 1.02635, 2.1113, 2.53952, -2.16577, -1.26471, -3.11692, 3.96972, -0.47912, -0.733448, -1.33008, 2.19125, 3.24102, 2.53716, 1.68772, 2.63208, -2.59901, -1.12749, -2.21068, -0.096018, -0.000537585, 0.0966303, 0.0276282, 0.501102
59,5.83407, -1.4303, 1.79261, -0.132217, 4.91706, 3.90294, -2.81739, -1.72422, -2.93765, 3.93552, -2.52783, 2.27628, -0.594181, 3.25111, 1.70037, 1.02317, 2.12037, 2.54515, -2.17109, -1.26369, -3.09951, 3.98011, -0.450516, -0.712132, -1.33685, 2.20864, 3.24756, 2.53951, 1.71238, 2.64996, -2.60139, -1.09047, -2.19683, -0.0923731, -0.0101038, 0.105185, 0.0276245, 0.501125
69,5.83593, -1.42483, 1.80646, -0.134116, 4.92058, 3.9018, -2.81609, -1.72507, -2.92826, 3.93755, -2.51751, 2.30109, -0.598898, 3.25704, 1.70043, 1.02039, 2.12875, 2.55133, -2.17585, -1.26376, -3.08018, 3.99073, -0.423099, -0.689441, -1.34327, 2.22573, 3.25291, 2.54214, 1.73599, 2.66851, -2.60329, -1.05353, -2.1834, -0.0858369, -0.0171646, 0.115129, 0.0240831, 0.501139
79,5.8382, -1.41954, 1.82217, -0.135742, 4.92366, 3.90105, -2.81411, -1.72678, -2.91667, 3.93979, -2.5076, 2.32866, -0.603105, 3.26195, 1.70103, 1.01803, 2.13633, 2.55866, -2.17999, -1.26566, -3.05772, 4.00162, -0.396677, -0.664867, -1.34924, 2.24232, 3.25694, 2.54518, 1.75865, 2.68814, -2.60456, -1.01688, -2.17024, -0.07695, -0.0206038, 0.127539, 0.0158918, 0.501144
89,5.84101, -1.41438, 1.84067, -0.137014, 4.92625, 3.90096, -2.81113, -1.7299, -2.90185, 3.94216, -2.49813, 2.36039, -0.606766, 3.2655, 1.70263, 1.01609, 2.14291, 2.56787, -2.1835, -1.27054, -3.03058, 4.01275, -0.370741, -0.637644, -1.35469, 2.25813, 3.25945, 2.54875, 1.7807, 2.70946, -2.60512, -0.980705, -2.15713, -0.0659628, -0.0192666, 0.143828, 0.00154111, 0.501114
99,5.84453, -1.40929, 1.86335, -0.137835, 4.92823, 3.90183, -2.80673, -1.7352, -2.88236, 3.94447, -2.48905, 2.39825, -0.609833, 3.2672, 1.70569, 1.01456, 2.14826, 2.57997, -2.18641, -1.28001, -2.99679, 4.02405, -0.344427, -0.606572, -1.35951, 2.27278, 3.26007, 2.55296, 1.80281, 2.73344, -2.60499, -0.945169, -2.14371, -0.0529903, -0.0117821, 0.16608, -0.0211148, 0.500981
