step,weight:l:0:0:0, weight:l:0:1:0, weight:l:0:2:0, weight:l:0:3:0, bias:l:0:0, error
76,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
77,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
78,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
79,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
80,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
81,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
82,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
83,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
84,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
85,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
86,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
87,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
88,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
89,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
90,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
91,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
92,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
93,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
94,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
95,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
96,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
97,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
98,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
99,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
100,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
101,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
102,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
103,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
104,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
105,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
106,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
107,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
108,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
109,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285401
110,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
111,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
112,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
113,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
114,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
115,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
116,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
117,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
118,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
119,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
middleData
0,0,0,-0.301086
-0.00128562,-0.00729414,-0.0165245,-0.413949
-0.00940103,-0.0241615,-0.0216874,-0.438515
-0.0271628,-0.0428779,-0.0207139,-0.376295
-0.0541228,-0.0580618,-0.0136843,-0.252677
-0.0871252,-0.0650789,-0.0022124,-0.108003
-0.121023,-0.0611921,0.0110179,0.0153963
-0.14989,-0.0462625,0.0228041,0.0860092
-0.168457,-0.0228815,0.0301644,0.0918395
-0.173423,0.00426991,0.0313451,0.0425554
-0.164217,0.0298585,0.0266245,-0.0351641
-0.142871,0.0496448,0.0182001,-0.107181
-0.113079,0.0617024,0.00911599,-0.143033
-0.0788802,0.0666017,0.00198283,-0.125083
-0.0434955,0.0666815,-0.0018022,-0.0530208
-0.00868942,0.06491,-0.00221107,0.0572392
0.0252621,0.0637847,-0.000337701,0.179371
0.0590957,0.0645393,0.0020468,0.284852
0.0937747,0.0667738,0.00301565,0.350784
0.129629,0.0685444,0.000995438,0.364987
0.165655,0.0668675,-0.00479427,0.327249
0.199176,0.0585753,-0.0139912,0.247051
0.226033,0.0413986,-0.0249217,0.139226
0.241331,0.0149976,-0.0348883,0.0194661
0.24063,-0.0185727,-0.0411634,-0.0987255
0.22111,-0.0554313,-0.0423378,-0.204935
